Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  267.0000         -0.62138403         -0.62463613         -0.62651485         -0.62795651         -0.61489308 
  268.0000         -0.62109537         -0.62466116         -0.62647680         -0.62794511         -0.61495422 
  269.0000         -0.62083924         -0.62464631         -0.62647452         -0.62798341         -0.61499204 
  270.0000         -0.62063728         -0.62461175         -0.62639421         -0.62794327         -0.61497643 
  271.0000         -0.62044086         -0.62464630         -0.62647451         -0.62798340         -0.61499202 
  272.0000         -0.62024660         -0.62466115         -0.62647677         -0.62794509         -0.61495419 
  273.0000         -0.62003680         -0.62463611         -0.62651481         -0.62795649         -0.61489304 
  274.0000         -0.61985286         -0.62452722         -0.62648532         -0.62794242         -0.61492192 
  275.0000         -0.61966622         -0.62444462         -0.62648728         -0.62796794         -0.61492647 
  276.0000         -0.61947879         -0.62432309         -0.62651932         -0.62799271         -0.61497115 
  277.0000         -0.61924229         -0.62415398         -0.62651667         -0.62798152         -0.61492634 
  278.0000         -0.61906243         -0.62397241         -0.62644487         -0.62794972         -0.61491174 
  279.0000         -0.61886158         -0.62378507         -0.62645890         -0.62796659         -0.61492722 
  280.0000         -0.61870078         -0.62362832         -0.62644361         -0.62795769         -0.61498751 
  281.0000         -0.61853620         -0.62347798         -0.62647256         -0.62797878         -0.61501409 
  282.0000         -0.61840886         -0.62328055         -0.62650173         -0.62793159         -0.61501663 
  283.0000         -0.61826043         -0.62307757         -0.62652144         -0.62795876         -0.61502988 
  284.0000         -0.61817130         -0.62284110         -0.62647677         -0.62794228         -0.61498407 
  285.0000         -0.61805251         -0.62264207         -0.62651111         -0.62793099         -0.61496874 
  286.0000         -0.61797007         -0.62239382         -0.62651147         -0.62793912         -0.61495332 
  287.0000         -0.61794808         -0.62218150         -0.62650622         -0.62795660         -0.61500711 
  288.0000         -0.61794184         -0.62191187         -0.62645563         -0.62795369         -0.61505544 
  289.0000         -0.61794626         -0.62167715         -0.62648471         -0.62795959         -0.61503307 
  290.0000         -0.61800131         -0.62148836         -0.62656724         -0.62788077         -0.61498513 
  291.0000         -0.61808735         -0.62128845         -0.62655519         -0.62791107         -0.61501100 
  292.0000         -0.61820403         -0.62110412         -0.62655879         -0.62795132         -0.61508579 
  293.0000         -0.61833074         -0.62089735         -0.62657678         -0.62794748         -0.61511085 
  294.0000         -0.61846175         -0.62067949         -0.62655445         -0.62792514         -0.61512077 
  295.0000         -0.61861061         -0.62047171         -0.62658184         -0.62793846         -0.61513052 
  296.0000         -0.61875079         -0.62028017         -0.62657882         -0.62791360         -0.61508036 
  297.0000         -0.61893123         -0.62013112         -0.62660488         -0.62791422         -0.61504474 
  298.0000         -0.61913070         -0.62001654         -0.62662609         -0.62788018         -0.61503800 
  299.0000         -0.61930818         -0.61991279         -0.62669274         -0.62792565         -0.61506504 
  300.0000         -0.61951668         -0.61978572         -0.62672439         -0.62794642         -0.61510578 
  301.0000         -0.61972954         -0.61969591         -0.62668587         -0.62792655         -0.61506505 
  302.0000         -0.61994554         -0.61959876         -0.62670652         -0.62789660         -0.61503802 
  303.0000         -0.62011290         -0.61949606         -0.62674293         -0.62792086         -0.61504477 
  304.0000         -0.62031454         -0.61944336         -0.62673561         -0.62791023         -0.61508040 
  305.0000         -0.62051429         -0.61937101         -0.62671347         -0.62794990         -0.61513058 
  306.0000         -0.62070016         -0.61936377         -0.62669712         -0.62789187         -0.61512084 
  307.0000         -0.62092506         -0.61939189         -0.62674087         -0.62795795         -0.61511092 
  308.0000         -0.62115337         -0.61942546         -0.62677021         -0.62791157         -0.61508587 
  309.0000         -0.62140794         -0.61948897         -0.62677482         -0.62791038         -0.61501110 
  310.0000         -0.62160699         -0.61958297         -0.62678005         -0.62790894         -0.61498523 
  311.0000         -0.62182925         -0.61969659         -0.62678583         -0.62795151         -0.61503317 
  312.0000         -0.62203806         -0.61979812         -0.62682061         -0.62797373         -0.61505555 
  313.0000         -0.62218177         -0.61989731         -0.62682423         -0.62793554         -0.61500723 
  314.0000         -0.62230837         -0.61999824         -0.62677708         -0.62789724         -0.61495344 
  315.0000         -0.62252129         -0.62011050         -0.62673996         -0.62792849         -0.61496887 
  316.0000         -0.62265417         -0.62024277         -0.62673687         -0.62791473         -0.61498419 
  317.0000         -0.62280513         -0.62042792         -0.62673710         -0.62793603         -0.61503001 
  318.0000         -0.62296375         -0.62063004         -0.62675560         -0.62793382         -0.61501676 
  319.0000         -0.62310386         -0.62082784         -0.62676316         -0.62796725         -0.61501422 
  320.0000         -0.62322437         -0.62108482         -0.62678922         -0.62796694         -0.61498764 
  321.0000         -0.62330969         -0.62125512         -0.62675385         -0.62794206         -0.61492735 
  322.0000         -0.62332963         -0.62145625         -0.62675756         -0.62793658         -0.61491186 
