#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 498 1 4.29809 -52.2297 -3.35001
 499 1 4.29809 -50.8117 -3.35001
 500 1 5.52619 -50.1027 -3.35001
 501 1 7.98219 -52.9387 -3.35001
 502 1 6.75419 -52.2297 -3.35001
 503 1 6.75419 -50.8117 -3.35001
 504 1 7.98219 -50.1027 -3.35001
 505 1 10.4382 -52.9387 -3.35001
 506 1 9.21019 -52.2297 -3.35001
 507 1 9.21019 -50.8117 -3.35001
 508 1 10.4382 -50.1027 -3.35001
 509 1 12.8943 -52.9387 -3.35001
 510 1 11.6663 -52.2297 -3.35001
 511 1 11.6663 -50.8117 -3.35001
 512 1 12.8943 -50.1027 -3.35001
 513 1 15.3503 -52.9387 -3.35001
 514 1 14.1223 -52.2297 -3.35001
 515 1 14.1223 -50.8117 -3.35001
 516 1 15.3503 -50.1027 -3.35001
 517 1 17.8064 -52.9387 -3.35001
 518 1 16.5784 -52.2297 -3.35001
 519 1 16.5784 -50.8117 -3.35001
 520 1 17.8064 -50.1027 -3.35001
 521 1 20.2624 -52.9387 -3.35001
 522 1 19.0344 -52.2297 -3.35001
 523 1 19.0344 -50.8117 -3.35001
 524 1 20.2624 -50.1027 -3.35001
 525 1 22.7185 -52.9387 -3.35001
 526 1 21.4905 -52.2297 -3.35001
 527 1 21.4905 -50.8117 -3.35001
 528 1 22.7185 -50.1027 -3.35001
 529 1 25.1745 -52.9387 -3.35001
 530 1 23.9465 -52.2297 -3.35001
 531 1 23.9465 -50.8117 -3.35001
 532 1 25.1745 -50.1027 -3.35001
 533 1 27.6306 -52.9387 -3.35001
 534 1 26.4026 -52.2297 -3.35001
 535 1 26.4026 -50.8117 -3.35001
 536 1 27.6306 -50.1027 -3.35001
 537 1 30.0866 -52.9387 -3.35001
 538 1 28.8586 -52.2297 -3.35001
 539 1 28.8586 -50.8117 -3.35001
 540 1 30.0866 -50.1027 -3.35001
 541 1 32.5427 -52.9387 -3.35001
 542 1 31.3147 -52.2297 -3.35001
 543 1 31.3147 -50.8117 -3.35001
 544 1 32.5427 -50.1027 -3.35001
 545 1 34.9987 -52.9387 -3.35001
 546 1 33.7707 -52.2297 -3.35001
 547 1 33.7707 -50.8117 -3.35001
 548 1 34.9987 -50.1027 -3.35001
 549 1 37.4548 -52.9387 -3.35001
 550 1 36.2267 -52.2297 -3.35001
 551 1 36.2267 -50.8117 -3.35001
 552 1 37.4548 -50.1027 -3.35001
 553 1 39.9108 -52.9387 -3.35001
 554 1 38.6828 -52.2297 -3.35001
 555 1 38.6828 -50.8117 -3.35001
 556 1 39.9108 -50.1027 -3.35001
 557 1 42.3669 -52.9387 -3.35001
 558 1 41.1388 -52.2297 -3.35001
 559 1 41.1388 -50.8117 -3.35001
 560 1 42.3669 -50.1027 -3.35001
 561 1 44.8229 -52.9387 -3.35001
 562 1 43.5949 -52.2297 -3.35001
 563 1 43.5949 -50.8117 -3.35001
 564 1 44.8229 -50.1027 -3.35001
 565 1 47.2789 -52.9387 -3.35001
 566 1 46.0509 -52.2297 -3.35001
 567 1 46.0509 -50.8117 -3.35001
 568 1 47.2789 -50.1027 -3.35001
 569 1 49.7349 -52.9387 -3.35001
 570 1 48.5069 -52.2297 -3.35001
 571 1 48.5069 -50.8117 -3.35001
 572 1 49.7349 -50.1027 -3.35001
 573 1 52.1909 -52.9387 -3.35001
 574 1 50.9629 -52.2297 -3.35001
